min_elect,-76.43743968
mode_1_vib
M,1.0830337389893931
K,9.524911044743816e+28
step_size,0.13784064822969996
sample,total energy(HARTREE)
-2,0.016870810000000347
-1,0.004016260000000216
0,0
1,0.00339995000000215
2,0.01225691000000495
mode_2_vib
M,1.0448441895089606
K,5.383892948930784e+29
step_size,0.09101514431123779
sample,total energy(HARTREE)
-2,0.0264261399999981
-1,0.007622459999993225
0,0
1,0.010426420000001713
mode_3_vib
M,1.082499021881292
K,5.680222388878219e+29
step_size,0.08822840759169735
sample,total energy(HARTREE)
-2,0.038266320000005294
-1,0.00919367000000193
0,0
1,0.009345719999998892
2,0.039494309999994925
